"SubjectID","Activity","variable","mean"
1,"LAYING","tBodyAcc-mean()-X",0.0848764675
1,"LAYING","tBodyAcc-mean()-Y",-0.0455102567154
1,"LAYING","tBodyAcc-mean()-Z",-0.1033663949
1,"LAYING","tBodyAcc-std()-X",-0.17453722646
1,"LAYING","tBodyAcc-std()-Y",-0.09535365078
1,"LAYING","tBodyAcc-std()-Z",-0.244085564692
1,"LAYING","tGravityAcc-mean()-X",0.67585341798
1,"LAYING","tGravityAcc-mean()-Y",-0.04022461982
1,"LAYING","tGravityAcc-mean()-Z",0.04936842492754
1,"LAYING","tGravityAcc-std()-X",-0.7921127456
1,"LAYING","tGravityAcc-std()-Y",-0.81360800926
1,"LAYING","tGravityAcc-std()-Z",-0.7992173188
1,"LAYING","tBodyAccJerk-mean()-X",0.137098246898
1,"LAYING","tBodyAccJerk-mean()-Y",0.009366633628
1,"LAYING","tBodyAccJerk-mean()-Z",0.024699890376
1,"LAYING","tBodyAccJerk-std()-X",-0.3319091908
1,"LAYING","tBodyAccJerk-std()-Y",-0.3309604021
1,"LAYING","tBodyAccJerk-std()-Z",-0.560070832
1,"LAYING","tBodyGyro-mean()-X",0.0356437105358
1,"LAYING","tBodyGyro-mean()-Y",-0.1397636023046
1,"LAYING","tBodyGyro-mean()-Z",0.15448814926
1,"LAYING","tBodyGyro-std()-X",-0.50488032654
1,"LAYING","tBodyGyro-std()-Y",-0.402702391726
1,"LAYING","tBodyGyro-std()-Z",-0.35027569906
1,"LAYING","tBodyGyroJerk-mean()-X",-0.043139751072
1,"LAYING","tBodyGyroJerk-mean()-Y",-0.0687217514586
1,"LAYING","tBodyGyroJerk-mean()-Z",-0.10285071324
1,"LAYING","tBodyGyroJerk-std()-X",-0.52428349896
1,"LAYING","tBodyGyroJerk-std()-Y",-0.6003231544
1,"LAYING","tBodyGyroJerk-std()-Z",-0.51455660314
1,"LAYING","tBodyAccMag-mean()",-0.0755823895388
1,"LAYING","tBodyAccMag-std()",-0.14953970856
1,"LAYING","tGravityAccMag-mean()",-0.0755823895388
1,"LAYING","tGravityAccMag-std()",-0.14953970856
1,"LAYING","tBodyAccJerkMag-mean()",-0.361274656244
1,"LAYING","tBodyAccJerkMag-std()",-0.331896916932
1,"LAYING","tBodyGyroMag-mean()",-0.19180563722
1,"LAYING","tBodyGyroMag-std()",-0.38503787762
1,"LAYING","tBodyGyroJerkMag-mean()",-0.5601602416
1,"LAYING","tBodyGyroJerkMag-std()",-0.59880056106
1,"LAYING","fBodyAcc-mean()-X",-0.220735783862
1,"LAYING","fBodyAcc-mean()-Y",-0.1594019504
1,"LAYING","fBodyAcc-mean()-Z",-0.35079241768
1,"LAYING","fBodyAcc-std()-X",-0.15868989362
1,"LAYING","fBodyAcc-std()-Y",-0.124873753598
1,"LAYING","fBodyAcc-std()-Z",-0.25261928382
1,"LAYING","fBodyAcc-meanFreq()-X",-0.43518626438
1,"LAYING","fBodyAcc-meanFreq()-Y",-0.088771489892
1,"LAYING","fBodyAcc-meanFreq()-Z",-0.05499452058034
1,"LAYING","fBodyAccJerk-mean()-X",-0.3601869083
1,"LAYING","fBodyAccJerk-mean()-Y",-0.35496739372
1,"LAYING","fBodyAccJerk-mean()-Z",-0.5282380848
1,"LAYING","fBodyAccJerk-std()-X",-0.36368655952
1,"LAYING","fBodyAccJerk-std()-Y",-0.35132561066
1,"LAYING","fBodyAccJerk-std()-Z",-0.59119895142
1,"LAYING","fBodyAccJerk-meanFreq()-X",-0.241256336678
1,"LAYING","fBodyAccJerk-meanFreq()-Y",-0.35738288932
1,"LAYING","fBodyAccJerk-meanFreq()-Z",-0.27803440486
1,"LAYING","fBodyGyro-mean()-X",-0.40261877382
1,"LAYING","fBodyGyro-mean()-Y",-0.44647236684
1,"LAYING","fBodyGyro-mean()-Z",-0.315115158196
1,"LAYING","fBodyGyro-std()-X",-0.539605474874
1,"LAYING","fBodyGyro-std()-Y",-0.386906579344
1,"LAYING","fBodyGyro-std()-Z",-0.42555995828
1,"LAYING","fBodyGyro-meanFreq()-X",-0.144922020162
1,"LAYING","fBodyGyro-meanFreq()-Y",-0.162753270202
1,"LAYING","fBodyGyro-meanFreq()-Z",-0.08269105086
1,"LAYING","fBodyAccMag-mean()",-0.151871574912
1,"LAYING","fBodyAccMag-std()",-0.28745850736
1,"LAYING","fBodyAccMag-meanFreq()",-0.0382323343688
1,"LAYING","fBodyBodyAccJerkMag-mean()",-0.30744510314
1,"LAYING","fBodyBodyAccJerkMag-std()",-0.372791751008
1,"LAYING","fBodyBodyAccJerkMag-meanFreq()",0.011601523522
1,"LAYING","fBodyBodyGyroMag-mean()",-0.44676366534
1,"LAYING","fBodyBodyGyroMag-std()",-0.455295009
1,"LAYING","fBodyBodyGyroMag-meanFreq()",-0.07853937019
1,"LAYING","fBodyBodyGyroJerkMag-mean()",-0.5895525702
1,"LAYING","fBodyBodyGyroJerkMag-std()",-0.6417939878
1,"LAYING","fBodyBodyGyroJerkMag-meanFreq()",0.07914761304
1,"LAYING","angle(tBodyAccMean,gravity)",0.405115345232
1,"LAYING","angle(tBodyAccJerkMean),gravityMean)",0.02487396006
1,"LAYING","angle(tBodyGyroMean,gravityMean)",-0.112177700164
1,"LAYING","angle(tBodyGyroJerkMean,gravityMean)",-0.08903477474
1,"LAYING","angle(X,gravityMean)",-0.4833501294
1,"LAYING","angle(Y,gravityMean)",0.09421952256
1,"LAYING","angle(Z,gravityMean)",-0.025066535106
1,"SITTING","tBodyAcc-mean()-X",0.0450448361446808
1,"SITTING","tBodyAcc-mean()-Y",-0.0142649397
1,"SITTING","tBodyAcc-mean()-Z",-0.0737373139191489
1,"SITTING","tBodyAcc-std()-X",-0.330036128329787
1,"SITTING","tBodyAcc-std()-Y",-0.214836288808511
1,"SITTING","tBodyAcc-std()-Z",-0.316471432425532
1,"SITTING","tGravityAcc-mean()-X",0.587090694914894
1,"SITTING","tGravityAcc-mean()-Y",0.0750985135319149
1,"SITTING","tGravityAcc-mean()-Z",0.076102846693617
1,"SITTING","tGravityAcc-std()-X",-0.761945285659574
1,"SITTING","tGravityAcc-std()-Y",-0.810605097446809
1,"SITTING","tGravityAcc-std()-Z",-0.646243348617021
1,"SITTING","tBodyAccJerk-mean()-X",0.155371533255319
1,"SITTING","tBodyAccJerk-mean()-Y",0.060589759293617
1,"SITTING","tBodyAccJerk-mean()-Z",-0.00411099901914894
1,"SITTING","tBodyAccJerk-std()-X",-0.482810278114894
1,"SITTING","tBodyAccJerk-std()-Y",-0.466546358553191
1,"SITTING","tBodyAccJerk-std()-Z",-0.68532987106383
1,"SITTING","tBodyGyro-mean()-X",0.0420599125829787
1,"SITTING","tBodyGyro-mean()-Y",-0.0833353356382979
1,"SITTING","tBodyGyro-mean()-Z",0.125204542361702
1,"SITTING","tBodyGyro-std()-X",-0.565977400425532
1,"SITTING","tBodyGyro-std()-Y",-0.582620239319149
1,"SITTING","tBodyGyro-std()-Z",-0.484743627148936
1,"SITTING","tBodyGyroJerk-mean()-X",-0.0636566220842553
1,"SITTING","tBodyGyroJerk-mean()-Y",-0.068047868893617
1,"SITTING","tBodyGyroJerk-mean()-Z",-0.129011005214426
1,"SITTING","tBodyGyroJerk-std()-X",-0.610281704617021
1,"SITTING","tBodyGyroJerk-std()-Y",-0.73349978212766
1,"SITTING","tBodyGyroJerk-std()-Z",-0.657759672553191
1,"SITTING","tBodyAccMag-mean()",-0.174577705723404
1,"SITTING","tBodyAccMag-std()",-0.219700027042553
1,"SITTING","tGravityAccMag-mean()",-0.174577705723404
1,"SITTING","tGravityAccMag-std()",-0.219700027042553
1,"SITTING","tBodyAccJerkMag-mean()",-0.509748945778723
1,"SITTING","tBodyAccJerkMag-std()",-0.490807394654468
1,"SITTING","tBodyGyroMag-mean()",-0.36449836187234
1,"SITTING","tBodyGyroMag-std()",-0.488436189306383
1,"SITTING","tBodyGyroJerkMag-mean()",-0.687165873404255
1,"SITTING","tBodyGyroJerkMag-std()",-0.713866274893617
1,"SITTING","fBodyAcc-mean()-X",-0.385629753829787
1,"SITTING","fBodyAcc-mean()-Y",-0.284963873021277
1,"SITTING","fBodyAcc-mean()-Z",-0.438423130042553
1,"SITTING","fBodyAcc-std()-X",-0.31049564132766
1,"SITTING","fBodyAcc-std()-Y",-0.232786652493617
1,"SITTING","fBodyAcc-std()-Z",-0.31137027087234
1,"SITTING","fBodyAcc-meanFreq()-X",-0.416134403210638
1,"SITTING","fBodyAcc-meanFreq()-Y",-0.0501484562404255
1,"SITTING","fBodyAcc-meanFreq()-Z",-0.0716061735957447
1,"SITTING","fBodyAccJerk-mean()-X",-0.497065732693617
1,"SITTING","fBodyAccJerk-mean()-Y",-0.489933868817021
1,"SITTING","fBodyAccJerk-mean()-Z",-0.65080074212766
1,"SITTING","fBodyAccJerk-std()-X",-0.515515373025532
1,"SITTING","fBodyAccJerk-std()-Y",-0.478248769172766
1,"SITTING","fBodyAccJerk-std()-Z",-0.719404998085106
1,"SITTING","fBodyAccJerk-meanFreq()-X",-0.191748362168511
1,"SITTING","fBodyAccJerk-meanFreq()-Y",-0.369549014465957
1,"SITTING","fBodyAccJerk-meanFreq()-Z",-0.298423724042553
1,"SITTING","fBodyGyro-mean()-X",-0.493683077851064
1,"SITTING","fBodyGyro-mean()-Y",-0.604404252519149
1,"SITTING","fBodyGyro-mean()-Z",-0.475323890531915
1,"SITTING","fBodyGyro-std()-X",-0.591890226595745
1,"SITTING","fBodyGyro-std()-Y",-0.57641335112766
1,"SITTING","fBodyGyro-std()-Z",-0.538774248
1,"SITTING","fBodyGyro-meanFreq()-X",-0.172183513204255
1,"SITTING","fBodyGyro-meanFreq()-Y",-0.18814813793766
1,"SITTING","fBodyGyro-meanFreq()-Z",-0.130749766946809
1,"SITTING","fBodyAccMag-mean()",-0.282917524361702
1,"SITTING","fBodyAccMag-std()",-0.317615578957447
1,"SITTING","fBodyAccMag-meanFreq()",-0.104890750329787
